Sales Person,Geography,Product,Date,Amount,Boxes
Husein Augar,New Zealand,Orange Choco,1/4/2021,11053,217
Rafaelita Blaksland,USA,Baker's Choco Chips,1/4/2021,5740,109
Dennison Crosswaite,New Zealand,99% Dark & Pure,1/4/2021,6958,427
Husein Augar,India,Raspberry Choco,1/4/2021,2478,63
Gunar Cockshoot,UK,Baker's Choco Chips,1/4/2021,1680,609
Gunar Cockshoot,India,Choco Coated Almonds,1/4/2021,3178,119
Gunar Cockshoot,UK,Smooth Sliky Salty,1/4/2021,5131,112
Beverie Moffet,UK,Almond Choco,1/4/2021,3633,212
Madelene Upcott,USA,Fruit & Nut Bars,1/4/2021,7819,247
Marney O'Breen,India,Orange Choco,1/4/2021,1064,138
Beverie Moffet,New Zealand,Organic Choco Syrup,1/4/2021,3465,259
Dennison Crosswaite,India,After Nines,1/4/2021,1148,240
Beverie Moffet,India,Fruit & Nut Bars,1/4/2021,819,306
Marney O'Breen,Australia,Spicy Special Slims,1/4/2021,2030,177
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,1/4/2021,147,169
Oby Sorrel,India,Mint Chip Choco,1/4/2021,1295,17
Kaine Padly,Australia,Orange Choco,1/4/2021,763,387
Gigi Bohling,Australia,Baker's Choco Chips,1/4/2021,4305,387
Husein Augar,USA,Manuka Honey Choco,1/4/2021,4851,35
Ches Bonnell,India,99% Dark & Pure,1/4/2021,987,271
Kaine Padly,Canada,85% Dark Bars,1/4/2021,4704,266
Karlen McCaffrey,Canada,Almond Choco,1/4/2021,3031,18
Dennison Crosswaite,Canada,Peanut Butter Cubes,1/4/2021,679,88
Gunar Cockshoot,Australia,Organic Choco Syrup,1/4/2021,6804,455
Dotty Strutley,India,Choco Coated Almonds,1/4/2021,357,210
Wilone O'Kielt,UK,Spicy Special Slims,1/4/2021,3815,424
Beverie Moffet,UK,99% Dark & Pure,1/4/2021,5670,122
Karlen McCaffrey,Canada,White Choc,1/4/2021,3010,155
Ches Bonnell,Australia,Manuka Honey Choco,1/4/2021,182,177
Barr Faughny,USA,Drinking Coco,1/4/2021,3080,73
Ches Bonnell,Canada,Caramel Stuffed Bars,1/4/2021,3101,643
Madelene Upcott,Australia,Eclairs,1/4/2021,2233,132
Madelene Upcott,USA,Mint Chip Choco,1/4/2021,3507,74
Gigi Bohling,Australia,Raspberry Choco,1/4/2021,8554,403
Dotty Strutley,India,Organic Choco Syrup,1/4/2021,3479,239
Curtice Advani,UK,Baker's Choco Chips,1/4/2021,1225,348
Rafaelita Blaksland,India,Eclairs,1/4/2021,49,840
Husein Augar,New Zealand,Baker's Choco Chips,1/4/2021,4487,175
Dotty Strutley,India,Spicy Special Slims,1/4/2021,1652,240
Wilone O'Kielt,India,Organic Choco Syrup,1/5/2021,10262,185
Oby Sorrel,Australia,Mint Chip Choco,1/5/2021,5173,217
Jan Morforth,New Zealand,White Choc,1/5/2021,2296,910
Rafaelita Blaksland,Canada,50% Dark Bites,1/5/2021,798,212
Madelene Upcott,India,White Choc,1/5/2021,910,231
Kelci Walkden,Canada,85% Dark Bars,1/5/2021,6510,251
Marney O'Breen,New Zealand,Manuka Honey Choco,1/5/2021,3892,213
Oby Sorrel,India,Spicy Special Slims,1/5/2021,4704,53
Gunar Cockshoot,New Zealand,Baker's Choco Chips,1/5/2021,4095,188
Gunar Cockshoot,Canada,Organic Choco Syrup,1/5/2021,11466,315
Dotty Strutley,India,99% Dark & Pure,1/5/2021,2324,178
Wilone O'Kielt,Canada,Baker's Choco Chips,1/5/2021,5068,128
Wilone O'Kielt,New Zealand,Almond Choco,1/5/2021,8855,436
Barr Faughny,India,Drinking Coco,1/5/2021,4872,175
Wilone O'Kielt,Australia,Peanut Butter Cubes,1/5/2021,8673,96
Curtice Advani,Australia,Orange Choco,1/5/2021,4340,79
Barr Faughny,New Zealand,50% Dark Bites,1/5/2021,35,910
Wilone O'Kielt,Australia,85% Dark Bars,1/5/2021,1659,43
Gunar Cockshoot,Canada,Spicy Special Slims,1/5/2021,4774,345
Wilone O'Kielt,New Zealand,Milk Bars,1/5/2021,637,61
Barr Faughny,New Zealand,Drinking Coco,1/5/2021,2828,208
Kaine Padly,India,Spicy Special Slims,1/5/2021,15288,139
Gigi Bohling,Canada,85% Dark Bars,1/5/2021,952,627
Marney O'Breen,Australia,Mint Chip Choco,1/5/2021,2632,840
Kaine Padly,Canada,Raspberry Choco,1/5/2021,8736,82
Brien Boise,Australia,Baker's Choco Chips,1/5/2021,805,217
Rafaelita Blaksland,Australia,Peanut Butter Cubes,1/5/2021,8316,138
Marney O'Breen,India,Milk Bars,1/5/2021,2072,300
Curtice Advani,New Zealand,Orange Choco,1/5/2021,938,16
Madelene Upcott,Canada,Milk Bars,1/5/2021,4592,96
Dennison Crosswaite,Australia,Drinking Coco,1/5/2021,8008,338
Madelene Upcott,India,Organic Choco Syrup,1/5/2021,8505,71
Wilone O'Kielt,Australia,Spicy Special Slims,1/5/2021,8463,183
Marney O'Breen,New Zealand,Mint Chip Choco,1/5/2021,6405,119
Gigi Bohling,New Zealand,70% Dark Bites,1/6/2021,2723,444
Curtice Advani,New Zealand,After Nines,1/6/2021,595,115
Gigi Bohling,USA,99% Dark & Pure,1/6/2021,5810,356
Marney O'Breen,Australia,White Choc,1/6/2021,10206,58
Jan Morforth,Canada,Drinking Coco,1/6/2021,1190,189
Dotty Strutley,UK,Drinking Coco,1/6/2021,4410,141
Jan Morforth,Australia,Eclairs,1/6/2021,3703,135
Curtice Advani,UK,70% Dark Bites,1/6/2021,4865,106
Andria Kimpton,New Zealand,Raspberry Choco,1/6/2021,7294,149
Gigi Bohling,New Zealand,Almond Choco,1/6/2021,3388,266
Marney O'Breen,India,Manuka Honey Choco,1/6/2021,581,161
Brien Boise,Canada,Eclairs,1/6/2021,875,207
Husein Augar,UK,99% Dark & Pure,1/6/2021,2331,625
Ches Bonnell,UK,After Nines,1/6/2021,259,486
Husein Augar,USA,Smooth Sliky Salty,1/6/2021,11473,251
Oby Sorrel,USA,Raspberry Choco,1/6/2021,1799,178
Dennison Crosswaite,Australia,Baker's Choco Chips,1/7/2021,882,1050
Karlen McCaffrey,India,85% Dark Bars,1/7/2021,5306,217
Beverie Moffet,India,Smooth Sliky Salty,1/7/2021,7210,30
Dotty Strutley,New Zealand,Almond Choco,1/7/2021,602,559
Gunar Cockshoot,Australia,Almond Choco,1/7/2021,2163,85
Jan Morforth,Canada,Fruit & Nut Bars,1/7/2021,1813,64
Brien Boise,USA,70% Dark Bites,1/7/2021,8253,88
Kelci Walkden,Canada,Orange Choco,1/7/2021,175,166
Dennison Crosswaite,UK,Baker's Choco Chips,1/7/2021,3535,83
Karlen McCaffrey,India,Organic Choco Syrup,1/7/2021,6888,840
Rafaelita Blaksland,India,Peanut Butter Cubes,1/7/2021,5845,75
Andria Kimpton,Australia,Almond Choco,1/7/2021,9590,414
Marney O'Breen,Australia,50% Dark Bites,1/7/2021,938,328
Jan Morforth,Canada,Raspberry Choco,1/7/2021,6251,220
Marney O'Breen,Canada,Almond Choco,1/7/2021,126,315
Curtice Advani,Canada,Raspberry Choco,1/7/2021,189,101
Rafaelita Blaksland,Canada,99% Dark & Pure,1/7/2021,2163,573
Dotty Strutley,Canada,Manuka Honey Choco,1/7/2021,7784,100
Madelene Upcott,Canada,Choco Coated Almonds,1/8/2021,3703,511
Brien Boise,UK,After Nines,1/8/2021,1428,220
Dennison Crosswaite,Australia,70% Dark Bites,1/8/2021,91,10
Barr Faughny,Canada,After Nines,1/8/2021,1561,505
Andria Kimpton,UK,Choco Coated Almonds,1/8/2021,532,155
Karlen McCaffrey,Australia,After Nines,1/8/2021,4284,275
Rafaelita Blaksland,Australia,White Choc,1/8/2021,322,296
Barr Faughny,USA,70% Dark Bites,1/8/2021,2576,48
Oby Sorrel,UK,Choco Coated Almonds,1/8/2021,1659,217
Karlen McCaffrey,Australia,Drinking Coco,1/8/2021,4214,135
Dotty Strutley,India,Smooth Sliky Salty,1/8/2021,2170,148
Ches Bonnell,India,Organic Choco Syrup,1/8/2021,630,41
Karlen McCaffrey,USA,Almond Choco,1/8/2021,3689,82
Jan Morforth,Canada,Almond Choco,1/8/2021,805,241
Barr Faughny,UK,Smooth Sliky Salty,1/8/2021,1449,123
Wilone O'Kielt,UK,Manuka Honey Choco,1/8/2021,1554,320
Oby Sorrel,Canada,50% Dark Bites,1/8/2021,2366,89
Dennison Crosswaite,USA,Drinking Coco,1/8/2021,518,389
Karlen McCaffrey,USA,Baker's Choco Chips,1/8/2021,1911,700
Marney O'Breen,Australia,Drinking Coco,1/8/2021,8974,16
Marney O'Breen,India,Choco Coated Almonds,1/8/2021,6580,182
Gigi Bohling,Canada,70% Dark Bites,1/8/2021,1953,25
Wilone O'Kielt,Canada,Smooth Sliky Salty,1/8/2021,1498,25
Curtice Advani,Australia,Caramel Stuffed Bars,1/8/2021,7749,177
Brien Boise,India,White Choc,1/8/2021,9975,171
Dotty Strutley,UK,Mint Chip Choco,1/11/2021,8911,12
Marney O'Breen,Australia,Milk Bars,1/11/2021,1295,27
Marney O'Breen,Australia,Smooth Sliky Salty,1/11/2021,1932,28
Jan Morforth,New Zealand,Fruit & Nut Bars,1/11/2021,112,57
Dotty Strutley,Canada,85% Dark Bars,1/11/2021,4823,103
Dennison Crosswaite,Australia,Orange Choco,1/11/2021,2968,210
Dotty Strutley,UK,Fruit & Nut Bars,1/11/2021,5411,240
Wilone O'Kielt,USA,Eclairs,1/11/2021,98,288
Kaine Padly,Australia,Milk Bars,1/11/2021,2576,99
Kaine Padly,Australia,Almond Choco,1/11/2021,3934,607
Andria Kimpton,Canada,After Nines,1/11/2021,3206,153
Kaine Padly,UK,After Nines,1/11/2021,5992,136
Curtice Advani,USA,Smooth Sliky Salty,1/11/2021,77,75
Beverie Moffet,Australia,50% Dark Bites,1/11/2021,5558,91
Kaine Padly,Canada,Peanut Butter Cubes,1/11/2021,2548,227
Karlen McCaffrey,UK,50% Dark Bites,1/11/2021,973,264
Karlen McCaffrey,Australia,Caramel Stuffed Bars,1/11/2021,3801,640
Marney O'Breen,New Zealand,Fruit & Nut Bars,1/11/2021,6867,770
Karlen McCaffrey,India,After Nines,1/11/2021,2317,276
Madelene Upcott,UK,50% Dark Bites,1/11/2021,462,147
Wilone O'Kielt,Canada,Raspberry Choco,1/11/2021,1022,7
Oby Sorrel,USA,Caramel Stuffed Bars,1/11/2021,5068,227
Dennison Crosswaite,USA,Fruit & Nut Bars,1/11/2021,9793,106
Andria Kimpton,Australia,Smooth Sliky Salty,1/11/2021,7210,219
Jan Morforth,Australia,Manuka Honey Choco,1/11/2021,4340,413
Brien Boise,India,Organic Choco Syrup,1/11/2021,9226,65
Barr Faughny,New Zealand,Orange Choco,1/12/2021,1932,129
Husein Augar,Australia,50% Dark Bites,1/12/2021,1337,133
Gigi Bohling,Canada,Spicy Special Slims,1/12/2021,1771,125
Jan Morforth,India,Mint Chip Choco,1/12/2021,4690,72
Andria Kimpton,UK,Orange Choco,1/12/2021,10241,243
Barr Faughny,UK,Peanut Butter Cubes,1/12/2021,4907,275
Curtice Advani,USA,50% Dark Bites,1/12/2021,5817,119
Dotty Strutley,USA,After Nines,1/12/2021,2527,277
Gigi Bohling,New Zealand,Choco Coated Almonds,1/12/2021,4053,23
Wilone O'Kielt,USA,Baker's Choco Chips,1/12/2021,63,263
Marney O'Breen,Canada,White Choc,1/12/2021,6559,619
Curtice Advani,Canada,After Nines,1/12/2021,4921,770
Gunar Cockshoot,Canada,Mint Chip Choco,1/12/2021,10738,135
Gunar Cockshoot,New Zealand,Almond Choco,1/12/2021,7441,8
Gigi Bohling,New Zealand,99% Dark & Pure,1/12/2021,6244,27
Gigi Bohling,UK,Organic Choco Syrup,1/12/2021,9625,138
Kelci Walkden,USA,Peanut Butter Cubes,1/12/2021,2303,194
Andria Kimpton,UK,Baker's Choco Chips,1/12/2021,406,94
Kaine Padly,UK,Fruit & Nut Bars,1/12/2021,6531,185
Wilone O'Kielt,USA,Fruit & Nut Bars,1/12/2021,2954,137
Andria Kimpton,Canada,Peanut Butter Cubes,1/12/2021,2121,204
Barr Faughny,New Zealand,Smooth Sliky Salty,1/12/2021,5026,222
Gunar Cockshoot,India,White Choc,1/12/2021,1673,410
Beverie Moffet,New Zealand,Choco Coated Almonds,1/13/2021,1337,700
Andria Kimpton,India,Mint Chip Choco,1/13/2021,4795,56
Marney O'Breen,New Zealand,Milk Bars,1/13/2021,224,185
Rafaelita Blaksland,Australia,Caramel Stuffed Bars,1/13/2021,1708,21
Wilone O'Kielt,New Zealand,Eclairs,1/13/2021,1463,577
Karlen McCaffrey,Canada,Milk Bars,1/13/2021,553,65
Kelci Walkden,India,Smooth Sliky Salty,1/13/2021,7812,265
Brien Boise,New Zealand,White Choc,1/13/2021,9149,117
Jan Morforth,UK,Drinking Coco,1/13/2021,3500,469
Madelene Upcott,UK,Almond Choco,1/13/2021,4417,440
Brien Boise,USA,Smooth Sliky Salty,1/13/2021,4487,224
Jan Morforth,Australia,Smooth Sliky Salty,1/13/2021,3444,24
Dennison Crosswaite,Canada,99% Dark & Pure,1/14/2021,4907,275
Gunar Cockshoot,New Zealand,Raspberry Choco,1/14/2021,1631,94
Gunar Cockshoot,Canada,Eclairs,1/14/2021,4949,329
Gigi Bohling,UK,Drinking Coco,1/14/2021,11004,397
Barr Faughny,India,Caramel Stuffed Bars,1/14/2021,7329,390
Husein Augar,India,Baker's Choco Chips,1/14/2021,1295,455
Oby Sorrel,UK,Drinking Coco,1/14/2021,3325,567
Beverie Moffet,New Zealand,Milk Bars,1/14/2021,6741,479
Madelene Upcott,USA,Choco Coated Almonds,1/14/2021,1925,174
Madelene Upcott,New Zealand,Smooth Sliky Salty,1/15/2021,2408,499
Dennison Crosswaite,Australia,50% Dark Bites,1/15/2021,6328,210
Ches Bonnell,USA,70% Dark Bites,1/15/2021,9583,469
Gigi Bohling,Canada,After Nines,1/15/2021,5264,249
Curtice Advani,India,Almond Choco,1/15/2021,2842,411
Kelci Walkden,New Zealand,70% Dark Bites,1/15/2021,3458,338
Dennison Crosswaite,Canada,70% Dark Bites,1/15/2021,7672,840
Dotty Strutley,Australia,50% Dark Bites,1/18/2021,35,51
Madelene Upcott,Australia,Choco Coated Almonds,1/18/2021,4039,114
Brien Boise,UK,Mint Chip Choco,1/18/2021,10969,531
Curtice Advani,Canada,Orange Choco,1/18/2021,7028,53
Kaine Padly,Canada,Fruit & Nut Bars,1/18/2021,5670,84
Gunar Cockshoot,Australia,Drinking Coco,1/18/2021,1645,100
Barr Faughny,Australia,Almond Choco,1/18/2021,2044,408
Ches Bonnell,India,Choco Coated Almonds,1/18/2021,4690,353
Wilone O'Kielt,Australia,Caramel Stuffed Bars,1/18/2021,5670,136
Brien Boise,Australia,Choco Coated Almonds,1/19/2021,4914,339
Ches Bonnell,India,Raspberry Choco,1/19/2021,3052,245
Rafaelita Blaksland,Australia,Almond Choco,1/19/2021,3976,352
Andria Kimpton,Canada,99% Dark & Pure,1/19/2021,4039,118
Rafaelita Blaksland,India,Smooth Sliky Salty,1/19/2021,6286,518
Oby Sorrel,USA,50% Dark Bites,1/19/2021,7007,595
Brien Boise,Australia,Raspberry Choco,1/19/2021,1890,287
Marney O'Breen,Canada,Drinking Coco,1/19/2021,2975,201
Rafaelita Blaksland,USA,Choco Coated Almonds,1/19/2021,1449,37
Beverie Moffet,Canada,Manuka Honey Choco,1/19/2021,4578,251
Ches Bonnell,USA,White Choc,1/19/2021,1449,157
Gunar Cockshoot,USA,85% Dark Bars,1/19/2021,693,85
Rafaelita Blaksland,India,After Nines,1/19/2021,7322,165
Rafaelita Blaksland,New Zealand,50% Dark Bites,1/19/2021,2226,241
Rafaelita Blaksland,USA,Fruit & Nut Bars,1/19/2021,7763,355
Gunar Cockshoot,India,Caramel Stuffed Bars,1/19/2021,322,238
Karlen McCaffrey,Canada,Organic Choco Syrup,1/19/2021,9219,263
Jan Morforth,Australia,Orange Choco,1/19/2021,2926,259
Gunar Cockshoot,Australia,Fruit & Nut Bars,1/19/2021,5831,135
Marney O'Breen,UK,Manuka Honey Choco,1/19/2021,798,163
Jan Morforth,Canada,Choco Coated Almonds,1/19/2021,3094,418
Jan Morforth,USA,Peanut Butter Cubes,1/19/2021,8043,123
Kelci Walkden,Australia,Spicy Special Slims,1/19/2021,9702,235
Beverie Moffet,India,After Nines,1/19/2021,9107,262
Gunar Cockshoot,Canada,After Nines,1/19/2021,1218,1120
Barr Faughny,UK,Spicy Special Slims,1/19/2021,1680,139
Dotty Strutley,Canada,Orange Choco,1/19/2021,1295,63
Andria Kimpton,India,Fruit & Nut Bars,1/19/2021,2625,163
Curtice Advani,UK,99% Dark & Pure,1/19/2021,1939,341
Ches Bonnell,USA,Smooth Sliky Salty,1/19/2021,1575,267
Dennison Crosswaite,Canada,50% Dark Bites,1/19/2021,4690,268
Karlen McCaffrey,New Zealand,Drinking Coco,1/19/2021,4606,298
Curtice Advani,UK,Choco Coated Almonds,1/20/2021,1659,137
Barr Faughny,UK,Choco Coated Almonds,1/20/2021,2576,132
Dennison Crosswaite,New Zealand,Fruit & Nut Bars,1/20/2021,413,151
Kelci Walkden,USA,Milk Bars,1/20/2021,819,106
Karlen McCaffrey,Canada,Peanut Butter Cubes,1/20/2021,5117,43
Ches Bonnell,Australia,Caramel Stuffed Bars,1/20/2021,4186,137
Curtice Advani,UK,Manuka Honey Choco,1/20/2021,4452,34
Brien Boise,Australia,Peanut Butter Cubes,1/20/2021,3556,66
Gigi Bohling,USA,Organic Choco Syrup,1/20/2021,4767,308
Husein Augar,New Zealand,Peanut Butter Cubes,1/20/2021,6629,139
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,1/20/2021,5915,910
Wilone O'Kielt,Canada,Mint Chip Choco,1/20/2021,1358,208
Husein Augar,USA,Peanut Butter Cubes,1/20/2021,9331,215
Kelci Walkden,Canada,Raspberry Choco,1/20/2021,84,59
Kaine Padly,UK,White Choc,1/20/2021,12894,126
Wilone O'Kielt,Australia,Raspberry Choco,1/20/2021,2296,9
Rafaelita Blaksland,UK,Peanut Butter Cubes,1/20/2021,91,473
Kelci Walkden,UK,Choco Coated Almonds,1/20/2021,6405,373
Husein Augar,New Zealand,Eclairs,1/20/2021,4550,36
Barr Faughny,USA,Spicy Special Slims,1/21/2021,7014,180
Kelci Walkden,UK,Organic Choco Syrup,1/21/2021,6979,164
Ches Bonnell,UK,85% Dark Bars,1/21/2021,8344,248
Kelci Walkden,New Zealand,Raspberry Choco,1/21/2021,2793,150
Karlen McCaffrey,UK,Almond Choco,1/21/2021,3143,99
Andria Kimpton,New Zealand,Baker's Choco Chips,1/21/2021,504,347
Karlen McCaffrey,India,Baker's Choco Chips,1/21/2021,868,77
Husein Augar,India,Smooth Sliky Salty,1/21/2021,3143,75
Oby Sorrel,USA,Orange Choco,1/21/2021,4893,840
Marney O'Breen,Canada,Eclairs,1/21/2021,1547,276
Ches Bonnell,Canada,Fruit & Nut Bars,1/21/2021,4200,188
Wilone O'Kielt,Australia,Fruit & Nut Bars,1/21/2021,1778,95
Barr Faughny,USA,99% Dark & Pure,1/21/2021,10675,184
Dotty Strutley,USA,Drinking Coco,1/21/2021,973,145
Dennison Crosswaite,UK,50% Dark Bites,1/21/2021,2310,44
Kelci Walkden,India,Peanut Butter Cubes,1/21/2021,217,333
Rafaelita Blaksland,New Zealand,After Nines,1/21/2021,3451,378
Marney O'Breen,USA,Caramel Stuffed Bars,1/21/2021,4277,60
Rafaelita Blaksland,UK,Spicy Special Slims,1/21/2021,7294,616
Kaine Padly,New Zealand,After Nines,1/22/2021,8365,238
Husein Augar,India,Caramel Stuffed Bars,1/22/2021,9982,403
Gunar Cockshoot,New Zealand,White Choc,1/22/2021,2849,345
Madelene Upcott,New Zealand,50% Dark Bites,1/22/2021,1519,188
Karlen McCaffrey,New Zealand,50% Dark Bites,1/22/2021,1106,438
Beverie Moffet,Australia,Milk Bars,1/22/2021,2695,524
Dennison Crosswaite,USA,Milk Bars,1/22/2021,3108,700
Brien Boise,Canada,Milk Bars,1/22/2021,3115,243
Dennison Crosswaite,New Zealand,50% Dark Bites,1/22/2021,2471,163
Oby Sorrel,Canada,White Choc,1/22/2021,5817,365
Dennison Crosswaite,India,Manuka Honey Choco,1/22/2021,1309,514
Rafaelita Blaksland,USA,Almond Choco,1/22/2021,5768,98
Brien Boise,New Zealand,Spicy Special Slims,1/22/2021,2681,117
Dennison Crosswaite,USA,Almond Choco,1/22/2021,3661,228
Barr Faughny,New Zealand,Caramel Stuffed Bars,1/22/2021,3290,6
Ches Bonnell,USA,85% Dark Bars,1/22/2021,8428,17
Brien Boise,USA,Baker's Choco Chips,1/22/2021,2044,31
Kelci Walkden,Canada,Manuka Honey Choco,1/25/2021,2219,320
Ches Bonnell,Canada,Spicy Special Slims,1/25/2021,4473,202
Dennison Crosswaite,UK,Fruit & Nut Bars,1/25/2021,2086,410
Beverie Moffet,New Zealand,Drinking Coco,1/25/2021,2618,128
Beverie Moffet,Canada,Almond Choco,1/25/2021,7630,276
Karlen McCaffrey,USA,Fruit & Nut Bars,1/25/2021,7910,480
Madelene Upcott,UK,Spicy Special Slims,1/25/2021,7882,103
Husein Augar,Australia,Orange Choco,1/25/2021,2940,573
Ches Bonnell,UK,70% Dark Bites,1/25/2021,3192,572
Marney O'Breen,USA,Spicy Special Slims,1/25/2021,3465,42
Beverie Moffet,UK,Caramel Stuffed Bars,1/25/2021,4410,88
Ches Bonnell,Australia,White Choc,1/25/2021,5397,301
Beverie Moffet,Canada,After Nines,1/25/2021,4928,222
Brien Boise,Canada,Manuka Honey Choco,1/25/2021,7987,49
Dennison Crosswaite,India,Baker's Choco Chips,1/25/2021,3710,6
Andria Kimpton,Australia,Orange Choco,1/25/2021,4620,105
Madelene Upcott,Australia,Orange Choco,1/25/2021,441,10
Oby Sorrel,New Zealand,Caramel Stuffed Bars,1/25/2021,6601,20
Jan Morforth,India,Peanut Butter Cubes,1/25/2021,7896,85
Brien Boise,USA,Drinking Coco,1/25/2021,812,602
Andria Kimpton,UK,50% Dark Bites,1/25/2021,2219,472
Ches Bonnell,UK,Almond Choco,1/25/2021,4886,173
Ches Bonnell,New Zealand,85% Dark Bars,1/25/2021,7644,133
Wilone O'Kielt,UK,70% Dark Bites,1/25/2021,4410,248
Husein Augar,New Zealand,Organic Choco Syrup,1/25/2021,7728,269
Oby Sorrel,USA,Almond Choco,1/25/2021,4739,124
Marney O'Breen,India,Smooth Sliky Salty,1/25/2021,2205,305
Barr Faughny,India,Milk Bars,1/25/2021,1547,251
Wilone O'Kielt,UK,Mint Chip Choco,1/26/2021,1204,22
Curtice Advani,UK,Mint Chip Choco,1/26/2021,7084,65
Karlen McCaffrey,USA,Drinking Coco,1/26/2021,3157,106
Brien Boise,India,Orange Choco,1/26/2021,525,187
Madelene Upcott,UK,Orange Choco,1/26/2021,1113,106
Ches Bonnell,India,Baker's Choco Chips,1/26/2021,2898,113
Husein Augar,New Zealand,Smooth Sliky Salty,1/26/2021,5495,255
Wilone O'Kielt,UK,White Choc,1/26/2021,1414,590
Dotty Strutley,Australia,Manuka Honey Choco,1/26/2021,1372,166
Jan Morforth,Australia,85% Dark Bars,1/27/2021,5299,168
Madelene Upcott,Australia,Drinking Coco,1/27/2021,1673,157
Kelci Walkden,India,After Nines,1/27/2021,4956,548
Oby Sorrel,New Zealand,Drinking Coco,1/27/2021,3745,254
Dennison Crosswaite,USA,Eclairs,1/27/2021,49,192
Brien Boise,India,Manuka Honey Choco,1/27/2021,3997,299
Husein Augar,Canada,85% Dark Bars,1/27/2021,6279,177
Marney O'Breen,Australia,Peanut Butter Cubes,1/27/2021,3346,449
Dotty Strutley,Canada,White Choc,1/28/2021,434,10
Gigi Bohling,India,Spicy Special Slims,1/28/2021,2051,13
Kelci Walkden,New Zealand,Caramel Stuffed Bars,1/28/2021,7350,176
Dennison Crosswaite,Canada,Choco Coated Almonds,1/28/2021,3752,232
Madelene Upcott,Canada,Smooth Sliky Salty,1/28/2021,6139,54
Barr Faughny,India,85% Dark Bars,1/28/2021,896,130
Brien Boise,India,Choco Coated Almonds,1/28/2021,1750,110
Marney O'Breen,Australia,Choco Coated Almonds,1/28/2021,2093,346
Rafaelita Blaksland,UK,After Nines,1/28/2021,1197,72
Madelene Upcott,Canada,Manuka Honey Choco,1/28/2021,2968,398
